chunk,ctx_len,api_sec,validators_sec
0,20,2.3109078779816628,0.0004253500374034047
1,40,0.9199219529982656,0.0007125309202820063
2,50,0.8739828820107505,0.027049829019233584
3,70,0.7725969169987366,0.0011872160248458385
4,83,0.6035970840603113,0.001671020989306271
5,94,1.3666869120206684,0.0036847360897809267
6,114,0.7785577540053055,0.0013560259249061346
7,134,0.8266431600786746,0.001363391987979412
8,147,0.7813160099321976,0.007306856918148696
9,147,0.8566382910357788,0.0013669210020452738
10,147,0.63640055002179,0.0017877699574455619
11,147,0.7991029369877651,0.002214025007560849
12,152,0.7321020690724254,0.001494400086812675
13,160,0.7441954870009795,0.0017723209457471967
14,179,0.7482205389533192,0.0017907799920067191
15,180,0.7670210959622636,0.0016991300508379936
16,194,0.7485204689437523,0.003799870959483087
17,194,0.6899090979713947,0.0020039909286424518
18,194,0.7892278920626268,0.004829011973924935
19,194,0.8322216479573399,0.008702217950485647
20,214,0.8187917580362409,0.0014443900436162949
21,234,0.7850022519705817,0.11536637996323407
22,237,0.7995082470588386,0.005479051033034921
23,257,1.5034749089973047,0.0014229610096663237
24,273,0.8780199330067262,0.002057231031358242
25,293,0.7795897799078375,0.0015594499418511987
26,295,0.7731861179927364,0.0022720610722899437
27,315,0.7817347300006077,0.0016096798935905099
28,320,0.7880633879685774,0.002507721073925495
29,329,1.5006658730562776,0.002444370067678392
30,329,0.8940560189075768,0.002362800994887948
31,329,0.833450551959686,0.0021738549694418907
32,331,0.878815314034,0.0022918510949239135
33,346,0.8257664049742743,0.006101242965087295
34,362,0.817589481943287,0.00238695100415498
35,378,0.9494394980138168,0.0023529710015282035
36,378,1.1138825059169903,0.02517353801522404
37,378,0.8821795249823481,0.007319492055103183
38,379,0.8608305479865521,0.009296612930484116
39,392,0.8766675930237398,0.0028453320264816284
40,412,0.8090329390252009,0.0017919909441843629
41,416,0.8521142849931493,0.0046762510901317
42,436,0.8774281489895657,0.0017108300235122442
43,456,0.8825582390418276,0.0020052159670740366
44,460,0.8521643349668011,0.0026341109769418836
45,480,1.4679253320209682,0.0020535909570753574
46,496,0.8827351951040328,0.003216185956262052
47,509,0.9628614879911765,0.0026966710574924946
48,521,0.8615556679433212,0.0031212710309773684
49,532,0.8861851760884747,0.0027816410874947906
50,538,0.8900868679629639,0.003090300946496427
51,538,0.8699751909589395,0.00633576198015362
52,539,0.9506203540368006,0.00493957195430994
53,546,0.9421809510095045,0.008537287008948624
54,546,0.8797957340721041,0.012512219022028148
55,546,0.84667597792577,0.011411472922191024
56,566,0.9374162999447435,0.00218864600174129
57,574,0.9731384260812774,0.015795095008797944
58,574,1.0453209660481662,0.007283051963895559
59,574,1.0035243119345978,0.0029162010177969933
60,574,0.9777702980209142,0.005830026930198073
61,575,1.6550227090483531,0.003743760986253619
62,575,0.9761738670058548,0.002934756106697023
63,575,1.0697325150249526,0.007895362097769976
64,578,1.0094100789865479,0.003674146020784974
65,578,0.9684807100566104,0.007292171940207481
66,578,0.9474104079417884,0.0036820219829678535
67,578,0.9362445529550314,0.003928981954231858
68,580,0.9983391449786723,0.0052975560538470745
69,580,1.0937131530372426,0.00298988597933203
