chunk,ctx_len,api_sec,validators_sec
0,4,2.0332076229387894,0.03594363189768046
1,4,1.6835310920141637,0.026466818992048502
2,6,1.6873355429852381,0.015603941981680691
3,14,1.708679566043429,0.004656590986996889
4,26,1.728464878979139,0.0010754199465736747
5,53,1.629697708063759,0.0012185609666630626
6,103,1.6054263149853796,0.0015874900855123997
7,112,1.5805189670063555,0.0010981910163536668
8,113,1.6012140680104494,0.0012712650932371616
9,117,1.6355577659560367,0.0021972099784761667
10,167,1.5982463030377403,0.0015444899909198284
11,177,1.6764381200773641,0.001281270058825612
12,216,1.8350052749738097,0.0017508500022813678
13,218,1.7664552310016006,0.005942711955867708
14,219,1.7245005959412083,0.0012619609478861094
15,252,1.7492597190430388,0.0016201710095629096
16,272,1.7990942120086402,0.0014869800070300698
17,273,1.8050403699744493,0.0013304399326443672
18,275,1.9256252109771594,0.00999156292527914
19,322,1.9002483959775418,0.004560380941256881
20,333,1.8900967939989641,0.0016880600014701486
21,333,2.0054523979779333,0.0035843810765072703
22,333,1.9431631420738995,0.001376310014165938
23,334,1.9501508639659733,0.005065792007371783
24,357,1.9935502290027216,0.0021382359554991126
25,407,1.9764043629402295,0.0019220409449189901
26,406,1.9321213179500774,0.0021582409972324967
27,413,2.049268128001131,0.002957412041723728
28,426,1.9846320550423115,0.0025568000273779035
29,430,2.0587463070405647,0.004209111910313368
30,430,1.9950473440112546,0.0018196909222751856
31,430,2.0868391909170896,0.0018648910336196423
32,432,2.1137149209389463,0.0019518010085448623
33,432,2.117421671980992,0.0019255749648436904
34,432,2.1002378209959716,0.0017954509239643812
35,460,2.093884433968924,0.002112761023454368
36,460,2.1127645350061357,0.002341801067814231
37,460,2.143818215932697,0.0029806209495291114
38,474,2.173034765990451,0.0026811709394678473
39,505,2.1568956709234044,0.002305760979652405
40,529,2.2415348750073463,0.0022654100321233273
41,529,2.118893682025373,0.0021618210012093186
42,529,2.27333875594195,0.004492881940677762
43,529,2.2769562570611015,0.00229039101395756
44,547,2.216475505963899,0.004784760996699333
45,577,2.2614782309392467,0.002664941013790667
46,586,2.2888476960361004,0.006176497088745236
47,586,2.240895183989778,0.003450531978160143
48,586,2.3386487980606034,0.0044615319930016994
49,586,2.344678909983486,0.00229922600556165
50,586,2.340037244022824,0.0023875809274613857
51,614,2.283998958999291,0.002686070976778865
52,636,2.2787178579019383,0.002741820993833244
53,636,2.3332250569947064,0.002801930997520685
54,686,2.348358361981809,0.002229289966635406
55,698,2.288772291969508,0.002725300961174071
56,748,2.3237230530939996,0.0025448009837418795
57,754,2.288051002076827,0.003110021003521979
58,754,2.3363913979846984,0.002541241003200412
59,754,2.363923891913146,0.0035444910172373056
60,756,2.3431237098993734,0.003740757005289197
61,756,2.3346319820266217,0.0027426310116425157
62,756,2.3017213749699295,0.0023686409695073962
63,770,2.2727259199600667,0.002595901023596525
64,820,2.334462216938846,0.0024055209942162037
